===============================================================
Gobuster v3.8
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:            https://www.silabs.com/wireless/wi-fi/siwx917y-wireless-modules
[+] Method:         GET
[+] Threads:        100
[+] Wordlist:       /home/yaniv/wl/yaniv_wordlist/dir-all.txt
[+] Status codes:   500,200,301,302,403,401
[+] User Agent:     gobuster/3.8
[+] Timeout:        10s
===============================================================
Starting gobuster in directory enumeration mode
===============================================================
/aamp                 (Status: 403) [Size: 435]
/aamu                 (Status: 403) [Size: 435]
/aan                  (Status: 403) [Size: 434]
/AAMVAUniversityOnline (Status: 403) [Size: 452]
/aaNascar             (Status: 403) [Size: 439]
/Aan                  (Status: 403) [Size: 434]
/aanbieder            (Status: 403) [Size: 440]
/aanbieding           (Status: 403) [Size: 441]
/aanbiedingen         (Status: 403) [Size: 443]
/Aanbod               (Status: 403) [Size: 437]
/aanbod               (Status: 403) [Size: 437]
/aandachtsgebieden    (Status: 403) [Size: 448]
/AandE                (Status: 403) [Size: 436]
/aando                (Status: 403) [Size: 436]
/aandtdiversion       (Status: 403) [Size: 445]
/AANewsClick          (Status: 403) [Size: 442]
/aangifte             (Status: 403) [Size: 439]
/aanitteet            (Status: 403) [Size: 440]
/aankomend            (Status: 403) [Size: 440]
/aaNewsRoom           (Status: 403) [Size: 441]
/aankondiging         (Status: 403) [Size: 443]
/aanleveren           (Status: 403) [Size: 441]
/aanmelden            (Status: 403) [Size: 440]
/aanloggen            (Status: 403) [Size: 440]
/aanmelding           (Status: 403) [Size: 441]
/aanmeldingsprocedure (Status: 403) [Size: 451]
/aanmeldingsformulier (Status: 403) [Size: 451]
/aanraders            (Status: 403) [Size: 440]
/aanrakujewelrybails  (Status: 403) [Size: 450]
/aansluitingsdocenten (Status: 403) [Size: 451]
/aansluiting          (Status: 403) [Size: 442]
/aanstelling          (Status: 403) [Size: 442]
/aanvalMainAdv        (Status: 403) [Size: 444]
